"NguonNhapID","Ten","DiaChi","TinhThanh","QuocGia","DienThoai","Fax","GhiChu","Email","WebSite","Loai","HienThi"
99,Actavis Italy S.p.A.,,,,,,,,,,1
100,Actavis Ltd. - Malta,,,,,,,,,,1
101,Actavis UK Limited,,,,,,,,,,1
102,Actavis UK Limited - Anh,,,,,,,,,,1
103,Actavsi UK Limited,,,,,,,,,,1
104,Aegen bioteck- India,,,,,,,,,,1
105,Aegis,,,,,,,,,,1
106,Aegis Ltd.,,,,,,,,,,1
107,Aegis Ltd-Cyprus,,,,,,,,,,1
108,Aegis/ Ấn Độ,,,,,,,,,,1
109,Aerofarm,,,,,,,,,,1
110,Aeropharm GmbH,,,,,,,,,,1
111,Aesculap,,,,,,,,,,1
112,Aesculap / B.Braun,,,,,,,,,,1
113,Aesculap-Đức,,,,,,,,,,1
114,Aesica Pharmaceuticals S.R.L,,,,,,,,,,1
115,Aesica Queenborough Limited,,,,,,,,,,1
116,Aesica Queenborough Ltd,,,,,,,,,,1
117,Aesica Queenborough Ltd (Abbott Laboratories),,,,,,,,,,1
118,Aesica Queenborough Ltd (Abbott Laboratories)- Anh,,,,,,,,,,1
119,"Aesica Queenborough Ltd (Abbott Laboratories)- Anh, Anh",,,,,,,,,,1
120,Aesica Queenborough Ltd.,,,,,,,,,,1
121,AF,,,,,,,,,,1
122,Affymetrix,,,,,,,,,,1
123,Aflofarm,,,,,,,,,,1
124,AGA / St.Jude,,,,,,,,,,1
125,"AGA, St Jude Medical - Mỹ, Ireland, Mexico, Costarica",,,,,,,,,,1
126,AGA/ St.Jude,,,,,,,,,,1
127,AGA/St. Jude,,,,,,,,,,1
128,AGA/ST.JUDE,,,,,,,,,,1
129,AGA/St.Jude - Mỹ,,,,,,,,,,1
130,AGA/St.Jude - USA,,,,,,,,,,1
131,Agfa,,,,,,,,,,1
132,Agfa - Bỉ,,,,,,,,,,1
133,Agimexpharm,,,,,,,,,,1
134,Agimexpharm - Cty CP DP Agimexpharm,,Kiên Giang,Việt Nam,,,,,,NHAPNCC,1
135,Agimexpharm - Việt Nam,,,,,,,,,,1
136,AGIMEXPHARM- ViỆT NAM,,,,,,,,,,1
137,Agimexpharm-Việt Nam,,,,,,,,,,1
138,Agimexpharm-VN,,,,,,,,,,1
139,Aguettan,,,,,,,,,,1
140,Aguettan - Pháp,,,,,,,,,,1
141,Aguettant,,,,,,,,,,1
142,Ahlcon Parenterals,,,,,,,,,,1
143,AHU,,,,,,,,,NHAPNCC,1
144,"Ajinomoto Pharmaceutical Co., Ltd.",,,,,,,,,,1
145,Akums Drugs,,,,,,,,,,1
146,Akums Drugs & Pharmaceuticals,,,,,,,,,,1
147,Akums Drugs & Pharmaceuticals Ltd,,,,,,,,,,1
148,Akums Drugs and Pharmaceuticals Ltd - India,,,,,,,,,,1
149,Alameco,,,,,,,,,,1
150,Albomed,,,,,,,,,,1
151,Alco,,,,,,,,,,1
152,Alcon,,,,,,,,,,1
153,Alcon - Mỹ,,,,,,,,,,1
154,"Alcon - Mỹ, Ireland",,,,,,,,,,1
155,Alcon Couvreur NV,,,,,,,,,,1
156,Alcon Couvreur NV - Bỉ,,,,,,,,,,1
157,Alcon Cusi S.A,,,,,,,,,,1
158,Alcon Laboratirios do Brasil Ltda.,,,,,,,,,,1
159,Alcon Laboratirios do Brasil Ltda. - Brazil,,,,,,,,,,1
160,Alcon Laboratories- USA,,,,,,,,,,1
161,"Alcon Laboratories, Inc.",,,,,,,,,,1
162,"Alcon Laboratories, Inc. - Mỹ",,,,,,,,,,1
163,"Alcon Laboratories, Inc.- Mỹ",,,,,,,,,,1
164,Alcon Laboratorios do Brasil Ltda.,,,,,,,,,,1
165,"Alcon Pharmaceuticals Ltd.,",,,,,,,,,,1
166,Alcon/ Bỉ,,,,,,,,,,1
167,Alcon/ Mỹ,,,,,,,,,,1
168,Alembic Limited,,,,,,,,,,1
169,Alembic Ltd -,,,,,,,,,,1
170,Alembic Pharmaceuticals LTD,,,,,,,,,,1
171,Alembic Pharmaceuticals LTD-India,,,,,,,,,,1
172,Alere,,,,,,,,,,1
173,Alere - Nhật,,,,,,,,,,1
174,Alere Medical,,,,,,,,,,1
175,Alere medical - Japan,,,,,,,,,,1
176,Alerson,,,,,,,,,,1
177,Alkem Laboratories - India,,,,,,,,,,1
178,Alkem Laboratories Ltd -India,,,,,,,,,,1
179,Alkem-Ấn Độ,,,,,,,,,,1
180,Allergan Pharmaceuticals,,,,,,,,,,1
181,Allergan Pharmaceuticals Ireland,,,,,,,,,,1
182,Allergan Pharmaceuticals Ireland - Ireland,,,,,,,,,,1
183,Allergan Sales LLC,,,,,,,,,,1
184,"Allergan Sales, LLC",,,,,,,,,,1
185,"Allergan Sales, LLC - Mỹ",,,,,,,,,,1
186,Allium,,,,,,,,,,1
187,Allmed,,,,,,,,,,1
188,Allmedicus,,,,,,,,,,1
189,Allwin,,,,,,,,,,1
190,Alpex Pharma S.A,,,,,,,,,,1
191,Alphachem - Cty TNHH TMDV Alphachem,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
192,Alpk2,,,,,,,,,,1
193,ALPK2 - Nhật Bản,,,,,,,,,,1
194,Alsanza,,,,,,,,,,1
195,Alsanza Medizintechnik Und Pharma Gmbh,,,,,,,,,,1
196,Alsanza Medizintechnik und Pharma GmbH.,,,,,,,,,,1
197,Alsanza Medizintechnikund Pharma GmbH-Đức,,,,,,,,,,1
198,Altaylar Medikal,,,,,,,,,,1
199,Altera,,,,,,,,,,1
200,Altera Tibbi Malzeme San. Ve Tic. As.,,,,,,,,,,1
201,Altera-Thỗ Nhĩ Kì,,,,,,,,,,1
202,Altomega Drug PVT.LTD,,,,,,,,,,1
203,A-M Systems,,,,,,,,,,1
204,A-M Systens - Mỹ/Hàn Quốc,,,,,,,,,,1
205,Am Vi,,,,,,,,,,1
206,Am Vi Pharmaceuticial Joint-Stock Company,,,,,,,,,,1
207,Amanta Healthcare,,,,,,,,,,1
208,Amanta healthcare Limited,,,,,,,,,,1
209,Amanta Healthcare Ltd,,,,,,,,,,1
210,Ameda,,,,,,,,,,1
211,Amg Gmbh,,,,,,,,,,1
212,amg GmbH - Đức,,,,,,,,,,1
213,Amn Life India,,,,,,,,,,1
214,AMN Life Science Pvt Ltd,,,,,,,,,,1
215,Ampharco U.S.A,,,,,,,,,,1
216,Ampharco U.S.A - Việt Nam,,,,,,,,,,1
217,"Ampharco U.S.A- Việt Nam, Việt Nam",,,,,,,,,,1
218,CÔNG TY CỔ PHẦN DƯỢC PHẨM AMPHARCO U.S.A,Việt Nam,Kiên Giang,Việt Nam,"","","",                                                  ,                                                  ,NHAPNCC,1
219,Amplitude,,,,,,,,,,1
220,Amplitude- Pháp,,,,,,,,,,1
221,Amrus,,,,,,,,,,1
222,CÔNG TY CỔ PHẦN Y TẾ AMVGROUP,TP HCM,"",Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
223,Amvi Biotech -VN,,,,,,,,,,1
224,An - Cty TNHH DP An,,Kiên Giang,Việt Nam,,,,,,NHAPNCC,1
225,An Bình - Cty TNHH Kỹ thuật An Bình,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
226,An Bình XNK TBYT - Cty TNHH xuất nhập khẩu TBYT An Bình,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
227,Ấn Độ,,,,,,,,,,1
228,CÔNG TY TNHH DƯỢC PHẨM AN KHANG,"232/8 Quốc Lộ 13, P26,Quận Bình Thạnh,TP HCM",Thành phố Hồ Chí Minh,Việt Nam,"","","",                                                  ,                                                  ,NHAPNCC,1
229,An Kim - Cty TNHH TM - DV An Kim,"44 Nguyễn Hữu Dật, Phường Tây Thạnh, Quận Tân Phú, Tp. Hồ Chí Minh",Thành phố Hồ Chí Minh,Việt nam,"0838165499","0838165497","",                                                  ,                                                  ,NHAPNCC,1
230,An Lành,,,,,,,,,,1
231,Ân Lộc - Cty TNHH SXTM Ân Lộc,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
232,An Lộc Phú - Cty TNHH An Lộc Phú,"",Thành phố Hồ Chí Minh,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
234,An Long - Công Ty TNHH Dược Phẩm An Long,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
235,CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT AN PHA,"793/28/1/42 Trần Xuân Soạn, Phường Tân Hưng, Quận 7,TP.HCM, Việt Nam",Thành phố Hồ Chí Minh,Việt nam,(028) 3862 3921,(028) 3862 3920,"",                                                  ,                                                  ,NHAPNCC,1
236,An Pha TBYT - Cty TNHH TM TBYT An Pha,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
237,CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT AN PHA,"793/28/1/42 Trần Xuân Soạn, P. Tân Hưng, Q. 7, TP HCM",Thành phố Hồ Chí Minh,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,0
238,An Phát - Cty CP Dược và TBYT An Phát,"74-76 Hoa Bằng,Yên Hòa,Cầu Giấy,Hà Nội",Thành phố Hà Nội,Việt nam,"0437846952","0437848966","",                                                  ,                                                  ,NHAPNCC,1
239,An Phát Phát - Cty TNHH TM SX An Phát Phát,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
240,An Phát Phát/ Việt Nam,,,,,,,,,,1
241,An Phú,,,,,,,,,,1
242,An Phú Hòa - Cty TNHH TMDVKT An Phú Hòa,"449/26 Hương Lộ 2,P.Bình Trị Đông, Q.Bình Tân, TPHCM",Kiên Giang,Việt nam,"0836021824","","",                                                  ,                                                  ,NHAPNCC,1
243,An Quốc - Cty TNHH TM - DV - KT TBYT An Quốc,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
244,CÔNG TY CỔ PHẦN DƯỢC PHẨM AN THIÊN,"314 Đường Đông Bông Sao,P 5,Q 8,TPHCM","",Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
245,Analyticon,,,,,,,,,,1
246,Analyticon- Đức,,,,,,,,,,1
247,Anfarm Hellas S.A,,,,,,,,,,1
248,Angiplast,,,,,,,,,,1
249,Anh,,,,,,,,,,1
250,Anh Duy - Cty TNHH TM-DVKT TBYT Anh Duy,"167/24/14 Huỳnh Tấn Phát, P.Tân Thuận Đông, Q.7, TP.HCM",Thành phố Hồ Chí Minh,Việt nam,"0837720268","0837720268","",                                                  ,                                                  ,NHAPNCC,1
251,Anh Liêm,,,,,,,,,DV_NHAPNCC,1
252,CÔNG TY TNHH DƯỢC PHẨM ANH MỸ,Hồ Chí Minh,An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
253,Anh Nhất - CH VT-TBYT Anh Nhất,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
254,Ánh Sáng Xanh - Cty TNHH TM Ánh Sáng Xanh,"",Kiên Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
255,Anh Sỹ ( Kiên Giang ),,,,,,,,,DV_NHAPNCC,1
256,Anios,,,,,,,,,,1
257,Anios - Pháp,,,,,,,,,,1
258,Anios- Pháp,,,,,,,,,,1
259,Anios-Pháp,,,,,,,,,,1
260,CÔNG TY TNHH CÔNG NGHỆ AN PHA,"299/24A Lý Thường Kiệt, P. 15, Q. 11, TP. HCM",Thành phố Hồ Chí Minh,Việt nam,"0822150939","","",                                                  ,                                                  ,NHAPNCC,1
261,Anrei,,,,,,,,,,1
262,ANT,,,,,,,,,,1
263,ANT- Malaysia,,,,,,,,,,1
264,Anton Hipp,,,,,,,,,,1
265,APAC - Công ty cổ phần APAC,"",Thành phố Hồ Chí Minh,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
266,APDIA,,,,,,,,,,1
267,APDIA/Bỉ,,,,,,,,,,1
268,Applliance-Pakistan,,,,,,,,,,1
269,Aptaca-Ý,,,,,,,,,,1
270,Ardent,,,,,,,,,,1
271,Ardeypharm Gmbh,,,,,,,,,,1
272,Argon,,,,,,,,,,1
273,Arhtrex,,,,,,,,,,1
274,Aristopharma Ltd,,,,,,,,,,1
275,Arjochem- Argentina,,,,,,,,,,1
276,Arkray,,,,,,,,,,1
277,Armephaco,,,,,,,,,,1
278,Armephaco - CN tại Cần Thơ Cty CP Armephaco,"",Thành phố Cần Thơ,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
279,Armephaco - Cty CP DP Armephaco,,Kiên Giang,Việt Nam,,,,,,NHAPNCC,1
280,Armephaco Cổ Phần - Cty CP Armephaco,"",An Giang,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
281,Armepharco - Cty CP Armepharco -CN TP HCM,,Kiên Giang,Việt Nam,,,,,,NHAPNCC,1
282,Armstrong,,,,,,,,,,1
283,Arrow (Teleflex),,,,,,,,,,1
284,ARTHENTINA,,,,,,,,,,1
285,Arthrex,,,,,,,,,,1
286,Arthrocare,,,,,,,,,,1
287,Arthrocare - Mỹ,,,,,,,,,,1
288,Arthrocare - Smith nephew,,,,,,,,,,1
289,Arthrocare/ Mỹ,,,,,,,,,,1
290,Arton,,,,,,,,,,1
291,Artron,,,,,,,,,,1
292,Artron Laboratories Inc,,,,,,,,,,1
293,Asahi Intec ,,,,,,,,,NHAPNCC,1
295,Asahi Intecc,,,,,,,,,NHAPNCC,1
296,Asahi Intecc (Nhật),,,,,,,,,,1
297,"Asahi Intecc (Thailand) Co.,Ltd",,,,,,,,,,1
298,Asahi Intecc- Nhật,,,,,,,,,,1
299,"Asahi Intecc
(Nhật)",,,,,,,,,NHAPNCC,1
300,Asahi Intecc/ Nhật,,,,,,,,,,1
301,Asahi Intecc/Nhật,,,,,,,,,,1
302,Asco,,,,,,,,,,1
303,ASCO - India,,,,,,,,,,1
304,ASCO (Apothecaries sun dries Mfg),,,,,,,,,,1
305,Aseculap,,,,,,,,,,1
306,Asico,,,,,,,,,,1
307,Asisstent,,,,,,,,,,1
308,ASP / a Johnson & Johnson,,,,,,,,,,1
309,ASP/ a Johnson & Johnson,,,,,,,,,,1
310,Aspen Notre Dame de Bondeville - France,,,,,,,,,,1
311,Aspen Pharma Pty Ltd- Úc,,,,,,,,,,1
312,"Aspen Pharma Pty Ltd, Úc",,,,,,,,,,1
313,"Aspen Pharma Pty., Ltd",,,,,,,,,,1
314,Aspide,,,,,,,,,,1
315,Aspide / Pháp,,,,,,,,,,1
316,Aspide/ Pháp,,,,,,,,,,1
317,Assistent,,,,,,,,,,1
318,Assistent/ Đức,,,,,,,,,,1
319,"Astellas Ireland Co., Ltd",,,,,,,,,,1
320,"Astellas Ireland Co., Ltd,Ireland",,,,,,,,,,1
321,"AstraZenaca Pharmaceuticial Co.,Ltd",,,,,,,,,,1
322,AstraZeneca AB,,,,,,,,,,1
323,AstraZeneca AB - Thuþ §iÓn,,,,,,,,,,1
324,AstraZeneca AB - Thuỵ Điển,,,,,,,,,,1
325,"AstraZeneca AB - Thuỵ Điển, Thụy Điển",,,,,,,,,,1
326,AstraZeneca Pharma India Ltd-India,,,,,,,,,,1
327,"AstraZeneca Pharmaceutical Co., Ltd",,,,,,,,,,1
328,AstraZeneca Pharmaceuticals LP,,,,,,,,,,1
329,AstraZeneca Pharmaceuticals LP; đóng gói Bristol Myers Squibb S.r.l,,,,,,,,,,1
330,AstraZeneca UK Ltd.,,,,,,,,,,1
331,AstraZeneca UK Ltd. (đóng gói TQ),,,,,,,,,,1
332,AstraZeneca UK Ltd.- Anh,,,,,,,,,,1
333,"AstraZeneca UK Ltd.- Anh,",,,,,,,,,,1
334,"AstraZeneca UK Ltd.- Anh, Anh",,,,,,,,,,1
335,AstraZeneca UK Ltd.; đóng gói AstraZeneca Pharmace,,,,,,,,,,1
336,Atabay Kimya Sanayi Ve Ticaret A.S,,,,,,,,,,1
337,Atabay Kimya Sanayi Ve Ticaret A.S - Thổ Nhĩ Kỳ,,,,,,,,,,1
338,"Atco Laboratories Ltd, Pakistan",,,,,,,,,,1
339,Atlas,,,,,,,,,,1
340,Atlas - Anh,,,,,,,,,,1
341,Atlas/ Anh,,,,,,,,,,1
342,ATT - Cty CP TM Quốc Tế ATT,"492 Nguyễn Thị Minh Khai, P2, Q3, Tp. Hồ Chí Minh",Thành phố Hồ Chí Minh,Việt nam,"838335321","838335324","",                                                  ,                                                  ,NHAPNCC,1
343,Âu Việt - Cty TNHH DP TBYT Âu Việt,"",Thành phố Hồ Chí Minh,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
344,Âu Việt TNHH MTV - Cty TNHH MTV Âu Việt,"64/31T Hòa Bình, P.5, Q.11, Tp. Hồ Chí Minh",Thành phố Hồ Chí Minh,Việt nam,"0854068606","0862642432","",                                                  ,                                                  ,NHAPNCC,1
345,"AUPA BIOPHARM CO., LTD.",,,,,,,,,,1
346,"AUPA BIOPHARM CO., LTD.- §µi Loan",,,,,,,,,,1
347,"AUPA BIOPHARM CO., LTD.- Đài Loan",,,,,,,,,,1
348,Aurobindo,,,,,,,,,,1
349,Aurobindo Pharma,,,,,,,,,,1
350,Aurobindo Pharma (EU-GMP),,,,,,,,,,1
351,Aurobindo Pharma Ltd,,,,,,,,,,1
352,Aurobindo Pharma Ltd Unit XII - Ấn Độ,,,,,,,,,,1
353,Aurobindo Pharma Ltd. - Ấn Độ,,,,,,,,,,1
354,Aurobindo Pharma Unit XII,,,,,,,,,,1
355,Aurolab,,,,,,,,,,1
356,Auxein,,,,,,,,,,1
357,Avantor,,,,,,,,,,1
358,"Aventis Pharm., Inc - MỸ",,,,,,,,,,1
359,"Ay Pharmaceuticals Co., Ltd - Nhật",,,,,,,,,,1
360,Aygun,,,,,,,,,,1
361,Aysam,,,,,,,,,,1
362,Aysam/ Thổ Nhĩ Kỳ,,,,,,,,,,1
363,Aysam-Thổ Nhĩ Kỳ,,,,,,,,,,1
364,Ayset,,,,,,,,,,1
365,Ayset - Thổ Nhĩ Kỳ,,,,,,,,,,1
366,Ayset/ Thổ Nhĩ Kỳ,,,,,,,,,,1
367,Azlon,,,,,,,,,,1
368,"B,Braun",,,,,,,,,,1
369,B. Braun,,,,,,,,,,1
370,B. Braun - Aesculap,,,,,,,,,,1
371,B. Braun - Germany,,,,,,,,,,1
372,B. Braun - Switzerland,,,,,,,,,,1
373,B. Braun - Thụy Sĩ,,,,,,,,,,1
374,B. Braun - Việt Nam,,,,,,,,,,1
375,B. Braun Melsungen AG,,,,,,,,,,1
376,B. Braun/ Đức,,,,,,,,,,1
377,B. RAUN,,,,,,,,,,1
378,B.Braun,,,,,,,,,NHAPNCC,1
379,B.Braun - Aesculap,,,,,,,,,,1
380,B.Braun - Anh,,,,,,,,,,1
381,B.Braun - Đức,,,,,,,,,,1
382,B.Braun - Malaysia,,,,,,,,,,1
383,B.Braun - Tây Ban Nha,,,,,,,,,,1
384,B.Braun - Thái Lan,,,,,,,,,,1
385,B.Braun - Thụy Sĩ,,,,,,,,,,1
386,B.braun - Việt Nam,,,,,,,,,,1
387,B.Braun Aesculap,,,,,,,,,,1
388,"B.Braun- Đức, Đức",,,,,,,,,,1
389,B.Braun Medical,,,,,,,,,,1
390,B.Braun Medical AG,,,,,,,,,,1
391,B.Braun Medical Industries Sdn.Bhd,,,,,,,,,,1
392,B.Braun Medical Industries Sdn.Bhd.,,,,,,,,,,1
393,B.Braun Melsungen,,,,,,,,,,1
394,B.Braun Melsungen AG,,,,,,,,,,1
395,B.Braun- Thụy Sĩ,,,,,,,,,,1
396,B.Braun Việt Nam,,,,,,,,,NHAPNCC,1
397,B.Braun -Ý,,,,,,,,,,1
398,B.Braun/ Ba Lan,,,,,,,,,,1
399,B.Braun/ Đức,,,,,,,,,,1
400,B.Braun/ Spain,,,,,,,,,,1
401,B.Braun/Aesculap,,,,,,,,,,1
402,B.Braun/Aesculap -  Ba Lan,,,,,,,,,,1
403,B.Braun/Aesculap -  Đức,,,,,,,,,,1
404,B.Braun/Aesculap -  Thụy Sĩ,,,,,,,,,,1
405,B.Braun-Aesculap,,,,,,,,,,1
406,B.Braun-Aesculap/ Đức,,,,,,,,,,1
407,CÔNG TY CỔ PHẦN DƯỢC PHẨM BÁCH NIÊN,"JJ9-JJ10 Bạch Mã,P.15,Q.10,TPHCM,VN","",Việt Nam,(028) 38 666 239,(028) 38 642 049,"",                                                  ,                                                  ,NHAPNCC,1
408,Bách Quang - CTY TNHH TM BÁCH QUANG,"P.003, CC Green Building, 540/1 CMT8, P11, Q13, TP.HCM",Thành phố Hồ Chí Minh,Việt nam,"","","",                                                  ,                                                  ,NHAPNCC,1
409,Bạch Tuyết,,,,,,,,,,1
410,BAG Health Care GmbH,,,,,,,,,,1
411,"Bag Healthcare, Đức",,,,,,,,,,1
412,Balkan pharma,,,,,,,,,,1
413,"Balkan pharma, Bulgaria",,,,,,,,,,1
414,Balkanpharma - Bulgaria,,,,,,,,,,1
415,Balkanpharma - Dupnitsa AD,,,,,,,,,,1
416,Balkanpharma - Dupnitza AD,,,,,,,,,,1
417,Balkanpharma - Dupnitza AD - Bulgaria,,,,,,,,,,1
418,Balkanpharma Razgrad AD,,,,,,,,,,1
